poster,session,number,title,authors,abstract,forum
Poster 1,Oral 1,1,title 1,"author 1, author 2",this is the abstract,https://openreview.net/
Poster 1,Oral 1,2,title 2,"author 1, author 2",this is the abstract,https://openreview.net/
Poster 1,Oral 1,3,title 3,"author 1, author 2",this is the abstract,https://openreview.net/
Poster 2,Oral 2,4,title 4,"author 1, author 2",this is the abstract,https://openreview.net/
Poster 3,Oral 2,5,title 5,"author 1, author 2",this is the abstract,https://openreview.net/
Poster 4,Oral 2,6,title 6,"author 1, author 2",this is the abstract,https://openreview.net/
,,,,,,
Poster 1,,7,title 7,"author 1, author 2",this is the abstract,https://openreview.net/
Poster 1,,8,title 8,"author 1, author 2",this is the abstract,https://openreview.net/
Poster 1,,9,title 9,"author 1, author 2",this is the abstract,https://openreview.net/
Poster 1,,10,title 10,"author 1, author 2",this is the abstract,https://openreview.net/
Poster 1,,11,title 11,"author 1, author 2",this is the abstract,https://openreview.net/
Poster 1,,12,title 12,"author 1, author 2",this is the abstract,https://openreview.net/
Poster 1,,13,title 13,"author 1, author 2",this is the abstract,https://openreview.net/
Poster 1,,14,title 14,"author 1, author 2",this is the abstract,https://openreview.net/
Poster 1,,15,title 15,"author 1, author 2",this is the abstract,https://openreview.net/
Poster 1,,16,title 16,"author 1, author 2",this is the abstract,https://openreview.net/
Poster 1,,17,title 17,"author 1, author 2",this is the abstract,https://openreview.net/
Poster 1,,18,title 18,"author 1, author 2",this is the abstract,https://openreview.net/
Poster 1,,19,title 19,"author 1, author 2",this is the abstract,https://openreview.net/
Poster 1,,20,title 20,"author 1, author 2",this is the abstract,https://openreview.net/
Poster 1,,21,title 21,"author 1, author 2",this is the abstract,https://openreview.net/
Poster 1,,22,title 22,"author 1, author 2",this is the abstract,https://openreview.net/
Poster 1,,23,title 23,"author 1, author 2",this is the abstract,https://openreview.net/
Poster 1,,24,title 24,"author 1, author 2",this is the abstract,https://openreview.net/
Poster 2,,25,title 25,"author 1, author 2",this is the abstract,https://openreview.net/
Poster 3,,26,title 26,"author 1, author 2",this is the abstract,https://openreview.net/
